alpha,RMSE,MAE,HitRate@10,Precision@10,Recall@10,NDCG@10,Coverage
0.0,1.1052106729279816,0.5900313446755303,0.385,0.0435,0.28041666666666665,0.1733186388224921,0.40390879478827363
0.1,1.3442954940747582,0.8310073627918786,0.525,0.062,0.3952916666666667,0.25074993533529544,0.41368078175895767
0.2,1.4802230775294114,0.9911959402654799,0.605,0.0745,0.45825000000000005,0.31335767777903833,0.4201954397394137
0.3,1.6141801534831313,1.167284283919816,0.67,0.0885,0.528875,0.38014357780740043,0.41042345276872966
0.4,1.7117205570688832,1.3114817748252174,0.73,0.1005,0.5996250000000001,0.42804323557737456,0.3811074918566775
0.5,1.7539315048506445,1.3892775386176932,0.77,0.10800000000000001,0.6442083333333334,0.44752723968068275,0.38762214983713356
0.6,1.7143131601596828,1.3558812482683824,0.77,0.1075,0.6432083333333333,0.4471713953005424,0.39087947882736157
0.7,1.6793950473905381,1.3289208495661031,0.77,0.1075,0.6432083333333333,0.4467257457120949,0.39087947882736157
0.8,1.644791338994642,1.3019604116590788,0.77,0.1075,0.6432083333333333,0.4465132183430442,0.39087947882736157
0.9,1.6068097968955262,1.2693563280567701,0.77,0.107,0.6407083333333332,0.44519287773018124,0.39087947882736157
1.0,1.4264934427962719,1.0450519665731104,0.685,0.09,0.5475,0.30719315878450165,0.3811074918566775
